PartNumber,Category,ShortName,Description,Brand ,Price,Orientation
904465,Reflectors,Wing Reflector,Econo Wing Reflector (72/Plt),SUN SYSTEMS,$119 ,Ceiling
904904,Reflectors,AC/DE Reflector,AC/DE Double Ended Air-Cooled Reflector 8 in (12/Plt),SUN SYSTEMS,$119 ,Ceiling
904420,Reflectors,Dominator XXXL,Dominator XXXL 8 in Air-Cooled Reflector (8/Plt),SUN SYSTEMS,$119 ,Ceiling
904515,Reflectors,Magnum XXXL,Magnum XXXL 8 in Air-Cooled Reflector (8/Plt),SUN SYSTEMS,$119 ,Ceiling
904855,Reflectors,Agrotech Magnum,Agrotech Magnum Double Ended Reflector (30/Plt),SUN SYSTEMS,$119 ,Ceiling
904934,Reflectors,DE Boss,DE Boss Reflector (24/Plt),SUN SYSTEMS,$119 ,Ceiling
904770,Reflectors,Magnum Low Pro XXXL,Magnum Low Pro XXXL 8 in Air-Cooled Reflector (15/Plt),SUN SYSTEMS,$119 ,Ceiling
904110,Reflectors,"Parabolic 48"" Reflector",Parabolic 48 in White Reflector (100/Plt),SUN SYSTEMS,$119 ,Ceiling
904655,Reflectors,"BlockBuster 8"" Reflector",BlockBuster 8 in Air-Cooled Reflector (12/Plt),SUN SYSTEMS,$119 ,Ceiling
,,,,,,
906300,Lights,Grow Beast,Sun System Grow Beast 208-240 Volt w/ 3100 K Lamps (12/Plt),SUN SYSTEMS,$119 ,Ceiling
,,,,,,
906205,Lights,Sun System LEC 315,Sun System LEC315 208 / 240 Volt w/ 3100 K Lamp,SUN SYSTEMS,$119 ,Ceiling
906219,Lights,Sun System LEC 630,Sun System LEC 630 208 / 240 Volt w/ 3100 K Lamps,SUN SYSTEMS,$119 ,Ceiling
906235,Lights,Sun System LEC Comercial,Sun System LEC Commercial Fixture 208-240 Volt 3100 K,SUN SYSTEMS,$119 ,Ceiling
,,,,,,
902518,Balasts,Galaxy Legacy ,Galaxy Legacy 600/750/1000 Turbo Charge Electronic Ballast - 120 - 240 Volt,GALAXY,$119 ,Wall or Ceiling
902682,Balasts,Galaxy DE Select-A-Watt,Galaxy DE Select-A-Watt 600/750/875/1000/1150 - 120 - 240 Volt,GALAXY,$119 ,Wall or Ceiling
902220,Balasts,Galaxy Grow Amp 1000,Galaxy Grow Amp 1000 Watt  600/750/1000/Turbo Charge - 120 - 240 Volt,GALAXY,$119 ,Wall or Ceiling
902238,Balasts,Galaxy Sun System 1 DE,Galaxy Sun System 1 DE 1000 Watt 120/240 Volt,GALAXY,$119 ,Wall or Ceiling
,,,,,,
702710,Controls,Titan CO2 Regulator,Titan Controls CO2 Regulator (10/Cs),TITAN,$119 ,Wall
702630,Controls,Zephyr 1,Titan Controls Zephyr 1 - Day/Night Temp Controller,TITAN,$119 ,Wall
702825,Controls,Titan Helios 12,Titan Controls Helios 12 - 8 Light 240 Volt Controller w/ Dual Trigger Cords,TITAN,$119 ,Wall
702899,Controls,Titan Spartan Series 8 ,Titan Controls - Spartan Series 8 Light Controller - 240 Volt,TITAN,$119 ,Wall
702898,Controls,Titan Spartan Series 4,Titan Controls - Spartan Series 4 Light Controller - 240 Volt (7/Cs),TITAN,$119 ,Wall
702677,Controls,Titan Helios 8,Titan Controls Helios 8 - 8 Light 240 Volt Controller w/ Dual Trigger Cords,TITAN,$119 ,Wall
702760,Controls,Titan Mercury 4,Titan Controls Mercury 4 - Multi Function Fan Speed Controller,TITAN,$119 ,Wall
702608,Controls,Titan Atlas 3,Titan Controls Atlas 3 -  Day/Night CO2 Monitor/Controller,TITAN,$119 ,Wall
702750,Controls,Titan Zephyr 2,Titan Controls Zephyr 2 - High Temp Shut Off,TITAN,$119 ,Wall
702820,Controls,Titan Helios 11,Titan Controls Helios 11 - 4 Light 240 Volt Controller w/ Trigger Cord,TITAN,$119 ,Wall
702618,Controls,Titan Atlas 2,Titan Controls Atlas 2 - Preset CO2 Monitor/Controller,TITAN,$119 ,Wall
702614,Controls,Titan Atlas 7,Titan Controls Atlas 7 - CO2 Controller,TITAN,$119 ,Wall
702605,Controls,Titan EOS 1,Titan Controls Eos 1 - Humidify/Dehumidify Controller,TITAN,$119 ,Wall
702616,Controls,Titan Atlas 1,Titan Controls Atlas 1 CO2 Monitor / Controller w/ Remote Sensor (6/Cs),TITAN,$119 ,Wall
702861,Controls,Titan Ares 4,Titan Controls Ares 4 - Four Burner LP CO2 Generator,TITAN,$119 ,Wall
702865,Controls,Titan Ares 8,Titan Controls Ares 8 - Eight Burner LP CO2 Generator,TITAN,$119 ,Wall
702835,Controls,Titan Helios 16,Titan Controls Helios 16 - 16 Light 240 Volt Controller w/ Dual Trigger Cords,TITAN,$119 ,Wall
,,,,,,
902650,,Sun System Hard Core HPS,Sun System Hard Core HPS/MH 1000 Watt 120/240 Volt,SUN SYSTEMS,$119 ,Wall or Ceiling
,,,,,,
736503,Fans,Wall Mount Oscillating,Hurricane Classic Wall Mount Oscillating Fan 16 in (42/Plt),HURRICAN,$119 ,Wall
736505,Fans,"Supreme Wall Fan 18""",Hurricane Supreme Wall Mount Fan 16 in (48/Plt),HURRICAN,$119 ,Wall
736506,Fans,"Supreme Wall Fan 16""",Hurricane Supreme Wall Mount Fan 18 in (36/Plt),HURRICAN,$119 ,Wall
736565,Fans,"Super 8 Wall Fan 16""",Hurricane Super 8 Digital Wall Mount Fan 16 in (48/Plt),HURRICAN,$119 ,Wall
736507,Fans,"Oscillating Stand Fan 16""",Hurricane Supreme Oscillating Stand Fan 16 in,HURRICAN,$119 ,Floor
701405,Fans,"Hyper Fan 8""",Hyper Fan 8 in Digital Mixed Flow Fan 710 CFM,HYPERFAN,$119 ,Floor
736590,Fans,"Inline Fan 12""",Hurricane Inline Fan 12 in 1060 CFM,HURRICAN,$119 ,Ceiling
701400,Fans,"Hyper Fan 6""",Hyper Fan 6 in Digital Mixed Flow Fan 315 CFM,HYPERFAN,$119 ,Ceiling
701410,Fans,"Hyper Fan 10""",Hyper Fan 10 in Digital Mixed Flow Fan 1065 CFM,HYPERFAN,$119 ,Ceiling
736540,Fans,"Super 8 Stand Fan 16""",Hurricane Super 8 Digital Stand Fan 16 in (36/Plt),HURRICAN,$119 ,Floor
701430,Fans,"Hyper Fan Sealth 10""",Hyper Fan Stealth 10 in 1065 CFM,HYPERFAN,$119 ,Floor
701425,Fans,"Hyper Fan Stealth 8""",Hyper Fan Stealth 8 in 710 CFM,HYPERFAN,$119 ,Floor
736476,Fans,"Hurricane Pro Floor Fan 20""",Hurricane Pro High Velocity Metal Floor Fan 20 in,HURRICAN,$119 ,Floor
736474,Fans,"Hurricane Pro Wall Fan 20""",Hurricane Pro High Velocity Metal Wall Mount Fan 20 in,HURRICAN,$119 ,Wall
736472,Fans,"Hurricane Metal Stand Fan 20""",Hurricane Pro High Velocity Metal Stand Fan 20 in,HURRICAN,$119 ,Floor
,,,,,,
700828,Dehumidifiers,Dehum 70 Pint,Ideal-Air Dehumidifier 70 Pint,IDEAL AIR,$119 ,Floor
700826,Dehumidifiers,Dehum 50 Pint,Ideal-Air Dehumidifier 50 Pint,IDEAL AIR,$119 ,Floor
700860,Dehumidifiers,Commercial Dehum 75 Pint,Humidifier - Commercial Grade - 75 Pints (48/Plt),IDEAL AIR,$119 ,Floor
700897,Dehumidifiers,Commercial Dehum 180 Pint,Ideal-Air Commercial Grade Dehumidifier 180 Pint,IDEAL AIR,$119 ,Floor
700836,Dehumidifiers,Commercial Dehum 100 Pint,Ideal-Air Commercial Grade Dehumidifier Up To 100 Pint,IDEAL AIR,$119 ,Floor
700834,Dehumidifiers,Commercial Dehum 60 Pint,Ideal-Air Commercial Grade Dehumidifier Up To 60 Pint,IDEAL AIR,$119 ,Floor
,,,,,,
700820,Heating/Cooling,Dual Hose AC 12K BTU,"Ideal-Air Dual Hose Air Conditioner 12,000 BTU",IDEAL AIR,$119 ,Floor
700510,Heating/Cooling,DIY Mini-Split HP 36k BTU,"Ideal-Air Mini Split Heat Pump 36,000 BTU 15 SEER - DIY",IDEAL AIR,$119 ,Floor
,,,,,,
700482,Heating/Cooling,Pro Mini-Split AC 36K BTU,"Ideal-Air Pro Series Cooling Only 36,000 BTU 18 SEER",IDEAL AIR,$119 ,Wall
700480,Heating/Cooling,Pro Mini-Split AC 24K BTU,"Ideal-Air Pro Series Cooling Only 24,000 BTU 18 SEER",IDEAL AIR,$119 ,Wall
700505,Heating/Cooling,DIY Mini-Split HP 24K BTU,"Ideal-Air Mini Split Heat Pump 24,000 BTU 15 SEER - DIY",IDEAL AIR,$119 ,Wall
700478,Heating/Cooling,Pro Mini-Split HP 36K BTU,"Ideal-Air Pro Series Heating & Cooling 36,000 BTU 18 SEER",IDEAL AIR,$119 ,Wall
700476,Heating/Cooling,Pro Mini-Split HP 24K BTU,"Ideal-Air Pro Series Heating & Cooling 24,000 BTU 18 SEER",IDEAL AIR,$119 ,Wall
,,,,,,
728700,Chillers,EcoPlus 1/4 HP,EcoPlus 1/4 HP Chiller,ECOPLUS,$119 ,Wall or Floor
728695,Chillers,EcoPlus 1//10 HP,EcoPlus 1/10 HP Chiller,ECOPLUS,$119 ,Wall or Floor
728709,Chillers,1 1/2 HP Commercial,EcoPlus Commercial Grade Water Chiller 1-1/2 HP,ECOPLUS,$119 ,Wall or Floor
728708,Chillers,1 HP Commercial,EcoPlus Commercial Grade Water Chiller 1 HP,ECOPLUS,$119 ,Wall or Floor
728707,Chillers,1/2 HP Commercial,EcoPlus Commercial Grade Water Chiller 1/2 HP,ECOPLUS,$119 ,Wall or Floor
,,,,,,
706124,Trays,Fast Fit 4' x 8',Fast Fit Tray Stand 4 ft x 8 ft,FASTFIT,$119 ,Floor
706122,Trays,Fast Fit 4' x 4',Fast Fit Tray Stand 4 ft x 4 ft,FASTFIT,$119 ,Floor
706135,Trays,Fast Fit 3' x 6',Fast Fit Tray Stand 3 ft x 6 ft,FASTFIT,$119 ,Floor
706121,Trays,Fast Fit 3' x 3',Fast Fit Tray Stand 3 ft x 3 ft,FASTFIT,$119 ,Floor
706120,Trays,Fast Fit 2' x 4' ,Fast Fit Tray Stand 2 ft x 4 ft,FASTFIT,$119 ,Floor
707940,Trays,Duralastic 4' x 4' White,Duralastics 4 ft x 4 ft ID White Tray,DURALAST,$119 ,Floor
707930,Trays,Duralastic 4' x 8' White,Duralastics 4 ft x 8 ft ID White Tray,DURALAST,$119 ,Floor
707935,Trays,Duralastic 3' x 6' White,Duralastics 3 ft x 6 ft ID White Tray,DURALAST,$119 ,Floor
707945,Trays,Duralastic 3' x 3' White,Duralastics 3 ft x 3 ft ID White Tray,DURALAST,$119 ,Floor
707950,Trays,Duralastic 2' x 4' White,Duralastics 2 ft x 4 ft ID White Tray,DURALAST,$119 ,Floor
,,,,,,
724800,Pots,Gro Pro 1 Gallon,Gro Pro Premium Nursery Pot 1 Gallon,GROPRO,$119 ,Trays
724815,Pots,Gro Pro 5 Gallon,Gro Pro Premium Nursery Pot 5 Gallon,GROPRO,$119 ,Trays
724805,Pots,Gro Pro 2 Gallon,Gro Pro Premium Nursery Pot 2 Gallon,GROPRO,$119 ,Trays
724810,Pots,Gro Pro 3 Gallon,Gro Pro Premium Nursery Pot 3 Gallon,GROPRO,$119 ,Trays
724820,Pots,Gro Pro 7 Gallon,Gro Pro Premium Nursery Pot 7 Gallon,GROPRO,$119 ,Trays
